Bet,betsite,dates,odds,fighter1,fighter2,class,url
Alistair Overeem,5Dimes,1315493703000,-140,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1316175603000,-145,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1316782803000,-150,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1316870705000,-155,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1317383704000,-150,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1320005104000,-155,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1320208203000,-145,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1320855303000,-150,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1321667703000,-160,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1321770905000,-150,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1321781705000,-155,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1322935204000,-150,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1323478502000,-160,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1323571203000,-165,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1323580203000,-160,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1323657002000,-155,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1323668403000,-165,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1323705303000,-160,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1323708604000,-145,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1323722103000,-150,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
Alistair Overeem,5Dimes,1324143604000,-145,Alistair Overeem,Brock Lesnar,even,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
